

                                            RAM FATAKA CENTER                                            
                            ITEM WISE PURCHASE SUMMRY : 01/04/2026 31/03/2027                            
Company  : ALL
---------------------------------------------------------------------------------------------------------
ITEM NAME               PACKING    |   OPEING   |   PURCHASE |PUR.RETU|    SALES   |SALE RET|    CLOSING
W 240 SHOTS M.COL RAINBOWBOX       |    0      0|    0      0|  0    0|    1      0|  0    0|   -1      0
W 25 SHOTS SQUARE APPLE  BOX       |    0      0|    0      0|  0    0|    3      0|  0    0|   -3      0
W 288 SHOT NEW           BOX       |    0      0|    0      0|  0    0|   11      0|  0    0|  -11      0
W 3 1/2 F P  J J ( 1 P)  BOX       |    0      0|    0      0|  0    0|   42      0|  0    0|  -42      0
W 3 1/2 F P (1P) JAWA    BOX       |    0      0|    0      0|  0    0|   34      0|  0    0|  -34      0
W 3 1/2 F P DOUBLE BALL (BOX       |    0      0|    0      0|  0    0|    1      0|  0    0|   -1      0
W 3 1/2 F P DOUBLE BALL CBOX       |    0      0|    0      0|  0    0|   40      0|  0    0|  -40      0
W 3 1/2 F P FIVE COL MIX BOX       |    0      0|    0      0|  0    0|    6      0|  0    0|   -6      0
W 3 F P (1P) AYYANAR     BOX       |    0      0|    0      0|  0    0|    5      0|  0    0|   -5      0
W 3 F PIPE BIG SIZZ MIXD BOX       |    0      0|    0      0|  0    0|    1      0|  0    0|   -1      0
W 30 SHOT M. COL CITY MALBOX       |    0      0|    0      0|  0    0|  119      0|  0    0| -119      0
W 30 SHOT M. COL. PRINCE BOX       |    0      0|    0      0|  0    0|    7      0|  0    0|   -7      0
W 30 SHOT M. COM  GURU JOBOX       |    0      0|    0      0|  0    0|   72      0|  0    0|  -72      0
W 30 SHOT M. COM J.J.F.W.BOX       |    0      0|    0      0|  0    0|   69      0|  0    0|  -69      0
W 30 SHOT M.COL PENCIL   BOX       |    0      0|    0      0|  0    0|    9      0|  0    0|   -9      0
---------------------------------------------------------------------------------------------------------
                                            RAM FATAKA CENTER                                            
                            ITEM WISE PURCHASE SUMMRY : 01/04/2026 31/03/2027                            
Company  : ALL
---------------------------------------------------------------------------------------------------------
ITEM NAME               PACKING    |   OPEING   |   PURCHASE |PUR.RETU|    SALES   |SALE RET|    CLOSING
---------------------------------------------------------------------------------------------------------
W 30 SHOTS AYYANAR NEW   BOX       |    0      0|    0      0|  0    0|  101      0|  0    0| -101      0
W 30 SHOTS M COL AYYANAR BOX       |    0      0|    0      0|  0    0|   23      0|  0    0|  -23      0
W 30 SHOTS M. COL. CHOLA BOX       |    0      0|    0      0|  0    0|    3      0|  0    0|   -3      0
W 30 SHOTS M. COL. VETRI BOX       |    0      0|    0      0|  0    0|   87      0|  0    0|  -87      0
W 30 SHOTS M. COL. WHITE BOX       |    0      0|    0      0|  0    0|  215      0|  0    0| -215      0
W 30 SHOTS M. COL.ELITE  BOX       |    0      0|    0      0|  0    0|  160      0|  0    0| -160      0
W 4 F P 3 COL MIXED ( 2 PBOX       |    0      0|    0      0|  0    0|    1      0|  0    0|   -1      0
W 4 F P DLX 15 COL MIXED BOX       |    0      0|    0      0|  0    0|    1      0|  0    0|   -1      0
W 4 F PIPE TIN PIPI(1P) 6BOX       |    0      0|    0      0|  0    0|    2      0|  0    0|   -2      0
W 4 F. PIPE (1 P) 12 STEPBOX       |    0      0|    0      0|  0    0|   10      0|  0    0|  -10      0
W 4 KG. COL.CLOUD WITH FOCYLINDER  |    0      0|    0      0|  0    0|    3      0|  0    0|   -3      0
W 40 CM MIX PARTY POPPER BOX       |    0      0|    0      0|  0    0|  620      0|  0    0| -620      0
W 500 SHOTS M.COL UNIVERSBOX       |    0      0|    0      0|  0    0|    1      0|  0    0|   -1      0
W 5000 LAR AYYANAR       PKT       |    0      0|    0      0|  0    0|    1      0|  0    0|   -1      0
W 5000 LAR FUSE  FULL COUBOX       |    0      0|    0      0|  0    0|    1      0|  0    0|   -1      0
W 5000 LAR JAYEM         BOX       |    0      0|    0      0|  0    0|    9      0|  0    0|   -9      0
W 5000 LAR NEW JAYAM     BOX       |    0      0|    0      0|  0    0|   49      0|  0    0|  -49      0
W 5000 LAR U.V. BOX  ANBABOX       |    0      0|    0      0|  0    0|    4      0|  0    0|   -4      0
W 5000 LAR UV BOX FULL COBOX       |    0      0|    0      0|  0    0|    2      0|  0    0|   -2      0
W 6 KG. COL.CLOUD WITH FOCYLINDER  |    0      0|    0      0|  0    0|    7      0|  0    0|   -7      0
W 60 SHOT M. COL CITY MALBOX       |    0      0|    0      0|  0    0|   23      0|  0    0|  -23      0
W 60 SHOT M. COM  GURU JOBOX       |    0      0|    0      0|  0    0|   63      0|  0    0|  -63      0
W 60 SHOTS AYYANAR NEW   BOX       |    0      0|    0      0|  0    0|   33      0|  0    0|  -33      0
W 60 SHOTS M COL AYYANAR BOX       |    0      0|    0      0|  0    0|    2      0|  0    0|   -2      0
W 60 SHOTS M. COL. CROSS BOX       |    0      0|    0      0|  0    0|   12      0|  0    0|  -12      0
W 60 SHOTS M. COL. MERCURBOX       |    0      0|    0      0|  0    0|    1      0|  0    0|   -1      0
W 60 SHOTS M. COL. U V BOPKT       |    0      0|    0      0|  0    0|    1      0|  0    0|   -1      0
W 60 SHOTS M. COL. VETRI BOX       |    0      0|    0      0|  0    0|   10      0|  0    0|  -10      0
W 60 SHOTS M.COL. CHOLA  BOX       |    0      0|    0      0|  0    0|   24      0|  0    0|  -24      0
W 8 SHOTS PAPER BONANZA ABOX       |    0      0|    0      0|  0    0|    2      0|  0    0|   -2      0
W CHAMKI  PAPER          1 KG      |    0      0|    0      0|  0    0|   10      0|  0    0|  -10      0
W COL SMOKE DHUA  COL (5 BOX       |    0      0|    0      0|  0    0|  190      0|  0    0| -190      0
W COL SMOKE DHUA  ORANGE BOX       |    0      0|    0      0|  0    0|  101      0|  0    0| -101      0
W COLD PYRO BOX 3.M.35.S BOX       |    0      0|    0      0|  0    0|   66      0|  0    0|  -66      0
W COLD PYRO R&G BOX 3.M.3BOX       |    0      0|    0      0|  0    0|   54      0|  0    0|  -54      0
W COLD PYRO YELLO BOX 3.MBOX       |    0      0|    0      0|  0    0|  100      0|  0    0| -100      0
W LADEN BOMB  6 NO B. R  BOX       |    0      0|    0      0|  0    0|    5      0|  0    0|   -5      0
W LADEN BOMB  NEW 6 NO B.BOX       |    0      0|    0      0|  0    0|    5      0|  0    0|   -5      0
W MULTICOLOR PAPER       1 KG      |    0      0|    0      0|  0    0|   20      0|  0    0|  -20      0
W SADDAM BOMB NEW        BOX       |    0      0|    0      0|  0    0|    1      0|  0    0|   -1      0
W SADDAM W/F SANTOSH     PKT       |    0      0|    0      0|  0    0|  100      0|  0    0| -100      0
W SNOW SPRAY WHITE TAIWANBOX       |    0      0|    0      0|  0    0|  840      0|  0    0| -840      0
W SPARKULAR GUN PENCIL-(CBOX       |    0      0|    0      0|  0    0|    6      0|  0    0|   -6      0
---------------------------------------------------------------------------------------------------------
TOTAL ->                                0      0|    0      0|  0    0|56132      0|  0    0|*****      0
---------------------------------------------------------------------------------------------------------
VALUE TOTAL :                                            0.00            3008428.50
---------------------------------------------------------------------------------------------------------
