

                                            RAM FATAKA CENTER                                            
                            ITEM WISE PURCHASE SUMMRY : 01/04/2026 31/03/2027                            
Company  : ALL
---------------------------------------------------------------------------------------------------------
ITEM NAME               PACKING    |   OPEING   |   PURCHASE |PUR.RETU|    SALES   |SALE RET|    CLOSING
129- KIT-KAT(10 P)YUVA   PKT       |    0      0|    0      0|  0    0|  700      0|  0    0| -700      0
130- DRAGON FIGHTER U.V.BPKT       |    0      0|    0      0|  0    0|  350      0|  0    0| -350      0
132- KIT-KAT(10 P)U.V.BOXPKT       |    0      0|    0      0|  0    0|  110      0|  0    0| -110      0
133- KIT-KAT BIG(10 P)TIRPKT       |    0      0|    0      0|  0    0|  100      0|  0    0| -100      0
134- CHIT PUT MERCURY    PKT       |    0      0|    0      0|  0    0|   80      0|  0    0|  -80      0
138- GANGA JAMUNA SRI PATPKT       |    0      0|    0      0|  0    0|  110      0|  0    0| -110      0
139- GANGA JAMUNA OVEETA(PKT       |    0      0|    0      0|  0    0|   30      0|  0    0|  -30      0
140- GANGA JAMUNA FLOWER PKT       |    0      0|    0      0|  0    0|   85      0|  0    0|  -85      0
141- GANGA JAMUNA MERCURYPKT       |    0      0|    0      0|  0    0|   50      0|  0    0|  -50      0
144- MAGIC FOUNTAIN MAGHTPKT       |    0      0|    0      0|  0    0|   11      0|  0    0|  -11      0
145- THE GREAT SPLENDOUR PKT       |    0      0|    0      0|  0    0|   10      0|  0    0|  -10      0
150- RED BIJALI AYYANAR (BAG       |    0      0|    0      0|  0    0|  220      0|  0    0| -220      0
152- RED BIJALI S.T.D.(10BAG       |    0      0|    0      0|  0    0|  210      0|  0    0| -210      0
153- RED BIJALI SONY (100BAG       |    0      0|    0      0|  0    0|   50      0|  0    0|  -50      0
159- STRIPPED BIJALI MERCBAG       |    0      0|    0      0|  0    0|   50      0|  0    0|  -50      0
161- STRIPPED BIJALI AYYABAG       |    0      0|    0      0|  0    0|  160      0|  0    0| -160      0
163- STRIPPED BIJALI GAINBAG       |    0      0|    0      0|  0    0|   20      0|  0    0|  -20      0
167- GOLD BIJALI A.G.S (5BAG       |    0      0|    0      0|  0    0|  570      0|  0    0| -570      0
169- GOLD BIJALI OTHER (1BAG       |    0      0|    0      0|  0    0|  500      0|  0    0| -500      0
170- GOLD BIJALI A.G.S(10BAG       |    0      0|    0      0|  0    0|  360      0|  0    0| -360      0
172- GOLD BIJALI APPLE(10BAG       |    0      0|    0      0|  0    0|  120      0|  0    0| -120      0
173- GOLD BIJALI SRIPATHIBAG       |    0      0|    0      0|  0    0|  100      0|  0    0| -100      0
174- GOLD BIJALI AYYANAR(BAG       |    0      0|    0      0|  0    0|  200      0|  0    0| -200      0
175- GOLD BIJALI COCK(100BAG       |    0      0|    0      0|  0    0|  530      0|  0    0| -530      0
176- BASKET BOMB SINGADA BAG       |    0      0|    0      0|  0    0|   80      0|  0    0|  -80      0
178- 9 CM PLAIN INDRA (10 BOX      |    0      0|    0      0|  0    0|   56      0|  0    0|  -56      0
180- 9 CM PLAIN CLASSIC ( BOX      |    0      0|    0      0|  0    0|   52      0|  0    0|  -52      0
181- 9 CM COL CLASSIC (10 BOX      |    0      0|    0      0|  0    0|   52      0|  0    0|  -52      0
196- 12 CM PLAIN LEO     PKT       |    0      0|    0      0|  0    0|  100      0|  0    0| -100      0
200- 50 CM PLAIN PIPE SARPKT       |    0      0|    0      0|  0    0|    5      0|  0    0|   -5      0
201- 50 CM COL PIPE SARAVPKT       |    0      0|    0      0|  0    0|    5      0|  0    0|   -5      0
203- 75 CM PLAIN PIPE SARPKT       |    0      0|    0      0|  0    0|    5      0|  0    0|   -5      0
213- 12 CM 5 IN 1 (5 PKT)PKT       |    0      0|    0      0|  0    0|   10      0|  0    0|  -10      0
215- 15 CM COL CHANDRA   PKT       |    0      0|    0      0|  0    0|  100      0|  0    0| -100      0
216- 15 CM R / G  50 X 50PKT       |    0      0|    0      0|  0    0|   10      0|  0    0|  -10      0
217- 15 CM 2 IN 1 CHANDRAPKT       |    0      0|    0      0|  0    0|   50      0|  0    0|  -50      0
219- 30 CM COL CHANDRA   PKT       |    0      0|    0      0|  0    0|  150      0|  0    0| -150      0
221- 10 CM PLAIN CLASSIC PKT       |    0      0|    0      0|  0    0|  450      0|  0    0| -450      0
222- 10 CM COL CLASSIC (5PKT       |    0      0|    0      0|  0    0|  410      0|  0    0| -410      0
---------------------------------------------------------------------------------------------------------
                                            RAM FATAKA CENTER                                            
